nome,email,telefone,origem,data,interesse,status,obs
Ana Paula Ribeiro,ana.ribeiro92@gmail.com,21 99876-5432,Instagram,03/05/2025,capinha iphone,cliente,comprou 2x
Carlos Eduardo,carlosedu_m@hotmail.com,,Shopify popup,03/05/2025,fone bluetooth,cliente,
fernanda costa,fernanda.css@gmail.com,21 98765-1234,Google Ads,04/05/2025,pelicula,cliente,
JOÃO VICTOR ALMEIDA,jv.almeida@outlook.com,21 97654-3210,Google Ads,04/05/2025,carregador,cliente,usou cupom BEMVINDO10
Maria Luiza,malu_pereira@yahoo.com.br,,Instagram,05/05/2025,capinha premium,cliente,
rafael santos,rafaelsantos.rj@gmail.com,21 96543-2109,Instagram DM,06/05/2025,fone,cliente,veio do @techdobruno
Beatriz Oliveira,bia.oliveira@gmail.com,,Shopify popup,06/05/2025,suporte veicular,cliente,
lucas gabriel,lucasgf_97@gmail.com,21 95432-1098,Site organico,07/05/2025,cabo usb-c,cliente,
Juliana Mendes,ju.mendes@hotmail.com,,Site organico,07/05/2025,power bank,cliente,usou FRETEGRATIS
Pedro Costa,phcosta@gmail.com,21 94321-0987,Loja fisica,08/05/2025,capinha samsung,cliente,
Mariana Silva,,21 99887-6655,WhatsApp,10/05/2025,fone bluetooth,lead quente,mandou msg perguntando preço
Mariana Silva,mari.silva.rj@gmail.com,21 99887-6655,Instagram,12/05/2025,fone X5 PRO,lead quente,mesma pessoa do whatsapp
Roberto Carlos,robertocn@gmail.com,,Google Ads,15/05/2025,fone tws,lead,clicou no anuncio
ROBERTO CARLOS NETO,robertocn@gmail.com,21 93210-9876,Loja fisica,20/05/2025,fone tws,cliente,comprou na loja depois
Ana P. Ribeiro,ana.ribeiro92@gmail.com,21 99876-5432,Shopify popup,02/06/2025,pelicula,cliente,cliente recorrente
Thiago Rocha,thiago.rocha.rj@gmail.com,,Instagram,03/06/2025,fone,cliente,comprou 2 pelo insta
camila nascimento,camila.nasc@outlook.com,21 92109-8765,Google Ads,04/06/2025,carregador wireless,cliente,
Gabriel Souza,gabriel.souza.sp@gmail.com,,Site,05/06/2025,cabo lightning,cliente,SP
Larissa Martins,lari.martins@gmail.com,21 91098-7654,Instagram,06/06/2025,capinha,cliente,cupom INFLUENCER15
marcos vinicius,marcos.v.lima@hotmail.com,,Google Ads,08/06/2025,fone X5 PRO,cliente,
Patricia Alves,patricia.alves@gmail.com,21 90987-6543,Site,10/06/2025,suporte tablet,cliente,comprou 2
Fernanda C. Silva,fernanda.css@gmail.com,,Instagram,15/06/2025,capinha premium,lead,ja eh cliente
Amanda Rodrigues,amanda.rod@outlook.com,21 99776-5544,WhatsApp,20/06/2025,capinha iphone,lead quente,perguntou preço atacado
Diego Fernandes,diegofernandes@gmail.com,,Site organico,25/06/2025,carregador,lead,
Amanda Rodrigues,amanda.rod@outlook.com,,Shopify popup,01/07/2025,promoção julho,cliente,comprou com cupom JULHOQUENTE
Roberto Carlos Neto,robertocn@gmail.com,,Site,01/07/2025,fone X5 PRO,cliente,comprou de novo
isabela santos,isa.santos.rj@gmail.com,21 98877-6655,Google Ads,05/07/2025,power bank solar,cliente,
Felipe Gomes,felipegomes@hotmail.com,,Mercado Livre,07/07/2025,pelicula samsung,cliente,
Vanessa Lima,vanessa.lima@gmail.com,21 97766-5544,Instagram,10/07/2025,fone,cliente,cupom INFLUENCER15
Anderson Oliveira,anderson.o@gmail.com,,Shopify,12/07/2025,capinha samsung,cliente,
,vendas@empresax.com.br,,Email marketing,15/07/2025,,lead frio,email genérico
Lucas Mendes,lucas.mendes@gmail.com,21 96655-4433,Instagram,18/07/2025,fone bluetooth,lead,
Lucas M.,lucas.mendes@gmail.com,,WhatsApp,20/07/2025,fone X3,lead quente,mesmo lucas de cima
Priscila Ramos,priscila.ramos@gmail.com,,Google Ads,01/08/2025,fone X5 PRO,cliente,comprou 2
Renato Barbosa,renato.b@outlook.com,21 95544-3322,Site,03/08/2025,carregador wireless,cliente,
Tatiane Souza,tati.souza@gmail.com,,Instagram,05/08/2025,capinha iphone,cliente,cupom AGOSTO20
teste,teste@teste.com,,,05/08/2025,,lixo,
admin,admin@conexaodigital.com.br,,,06/08/2025,,lixo,teste interno
Bruno Nascimento,bruno.nasc.tech@gmail.com,,Shopify,07/08/2025,cabo usb-c,cliente,influencer comprando tb
Aline Costa,aline.costa.rj@gmail.com,21 94433-2211,Site,10/08/2025,power bank,cliente,
Eduardo Lima,edu.lima@hotmail.com,,Google Ads,12/08/2025,suporte veicular,cliente,
Carolina Almeida,carol.almeida@gmail.com,21 93322-1100,Instagram,01/09/2025,fone X5 PRO,cliente,
GUSTAVO PEREIRA,gustavo.p@gmail.com,,Site,03/09/2025,capinha premium,cliente,
Natália Ferreira,natalia.f@outlook.com,,Google Ads,05/09/2025,carregador,cliente,cupom SETEMBROTOP
rodrigo mendes,rodrigo.m@gmail.com,21 92211-0099,Site,07/09/2025,pelicula,cliente,comprou 6
Daniela Rocha,dani.rocha@gmail.com,,Loja fisica,10/09/2025,power bank solar,cliente,
Matheus Santos,matheus.s.rj@gmail.com,21 91100-9988,Instagram,12/09/2025,fone,cliente,cupom INFLUENCER15
Sandra Oliveira,,21 99001-2233,WhatsApp,15/09/2025,atacado capinhas,lead quente,quer comprar 50 unidades
Sandra Oliveira,sandra.oliv@gmail.com,21 99001-2233,Site,18/09/2025,atacado,lead quente,mesma Sandra
SANDRA OLIVEIRA,sandra.oliv@gmail.com,,Email,20/09/2025,proposta atacado,lead quente,mandou email pedindo tabela
